Holes,Strengths
AKsr,0.6553415
AQsr,0.647996
AJsr,0.6422295
ATsr,0.6359115
A9sr,0.616507
A8sr,0.611655
A7sr,0.6019795
A6sr,0.591966
A5sr,0.5931985
A4sr,0.584199
A3sr,0.575184
A2sr,0.5660985
KQsr,0.624918
KJsr,0.618493
KTsr,0.610837
K9sr,0.5926155
K8sr,0.5769915
K7sr,0.570714
K6sr,0.5644205
K5sr,0.5572095
K4sr,0.5466835
K3sr,0.537272
K2sr,0.5284465
QJsr,0.600724
QTsr,0.594293
Q9sr,0.575165
Q8sr,0.559432
Q7sr,0.544125
Q6sr,0.5389265
Q5sr,0.5305355
Q4sr,0.521999
Q3sr,0.5122025
Q2sr,0.5031355
JTsr,0.58068
J9sr,0.560771
J8sr,0.5452475
J7sr,0.5285055
J6sr,0.513439
J5sr,0.50823
J4sr,0.499224
J3sr,0.4900645
J2sr,0.480897
T9sr,0.5505745
T8sr,0.5328955
T7sr,0.517244
T6sr,0.501641
T5sr,0.4864535
T4sr,0.4789995
T3sr,0.4705265
T2sr,0.4604425
98sr,0.5209805
97sr,0.5051315
96sr,0.4898605
95sr,0.472918
94sr,0.455018
93sr,0.448231
92sr,0.4389535
87sr,0.4967485
86sr,0.4822285
85sr,0.46535
84sr,0.4463595
83sr,0.4272445
82sr,0.421499
76sr,0.4743635
75sr,0.458939
74sr,0.440147
73sr,0.4217655
72sr,0.4026125
65sr,0.456365
64sr,0.4373815
63sr,0.4188005
62sr,0.398718
54sr,0.440401
53sr,0.422134
52sr,0.402169
43sr,0.4102825
42sr,0.391753
32sr,0.38087
AKsb,0.6448815
AQsb,0.6375325
AJsb,0.6310465
ATsb,0.625334
A9sb,0.606609
A8sb,0.6009615
A7sb,0.592839
A6sb,0.582744
A5sb,0.584589
A4sb,0.575214
A3sb,0.56616
A2sb,0.557768
KQsb,0.614926
KJsb,0.6085465
KTsb,0.6039255
K9sb,0.5839
K8sb,0.5698475
K7sb,0.5633495
K6sb,0.5564395
K5sb,0.5488015
K4sb,0.5399865
K3sb,0.5305955
K2sb,0.519981
QJsb,0.592639
QTsb,0.5870135
Q9sb,0.5680895
Q8sb,0.551857
Q7sb,0.5370375
Q6sb,0.5328245
Q5sb,0.525191
Q4sb,0.515094
Q3sb,0.5058245
Q2sb,0.4968975
JTsb,0.5743945
J9sb,0.553259
J8sb,0.539737
J7sb,0.5229135
J6sb,0.507035
J5sb,0.5036395
J4sb,0.4936375
J3sb,0.484707
J2sb,0.474603
T9sb,0.544292
T8sb,0.5279985
T7sb,0.5126305
T6sb,0.4970685
T5sb,0.4820115
T4sb,0.475634
T3sb,0.4653455
T2sb,0.4555825
98sb,0.5156125
97sb,0.5004
96sb,0.4846795
95sb,0.4692255
94sb,0.450879
93sb,0.443961
92sb,0.4348095
87sb,0.4923545
86sb,0.4775025
85sb,0.4609245
84sb,0.4426105
83sb,0.423766
82sb,0.417415
76sb,0.471586
75sb,0.4557265
74sb,0.43761
73sb,0.4186255
72sb,0.3991245
65sb,0.45268
64sb,0.4350355
63sb,0.4160285
62sb,0.3970375
54sb,0.437851
53sb,0.419093
52sb,0.4010785
43sb,0.4079375
42sb,0.390128
32sb,0.379025
AKor,0.6430275
AQor,0.6352825
AJor,0.6283825
ATor,0.6205145
A9or,0.6005115
A8or,0.59257
A7or,0.5840075
A6or,0.571621
A5or,0.572247
A4or,0.561903
A3or,0.549943
A2or,0.5391975
KQor,0.611812
KJor,0.603966
KTor,0.595663
K9or,0.574948
K8or,0.557978
K7or,0.551682
K6or,0.5425245
K5or,0.5335385
K4or,0.523049
K3or,0.510813
K2or,0.4998035
QJor,0.5857675
QTor,0.578598
Q9or,0.557269
Q8or,0.540584
Q7or,0.523397
Q6or,0.5169425
Q5or,0.5079215
Q4or,0.496649
Q3or,0.4849735
Q2or,0.4729805
JTor,0.5652645
J9or,0.5421575
J8or,0.5246745
J7or,0.5079835
J6or,0.4909845
J5or,0.484433
J4or,0.472447
J3or,0.461575
J2or,0.4496875
T9or,0.531363
T8or,0.5129505
T7or,0.4962755
T6or,0.4788035
T5or,0.460002
T4or,0.451598
T3or,0.440705
T2or,0.4279855
98or,0.499489
97or,0.482688
96or,0.465276
95or,0.4470985
94or,0.4256375
93or,0.417899
92or,0.406352
87or,0.4727405
86or,0.4553915
85or,0.4373915
84or,0.416087
83or,0.3956365
82or,0.3875875
76or,0.4502825
75or,0.431643
74or,0.409816
73or,0.3896915
72or,0.366883
65or,0.428267
64or,0.4073235
63or,0.3858475
62or,0.364169
54or,0.41006
53or,0.389182
52or,0.367997
43or,0.376585
42or,0.3548845
32or,0.3432445
AKob,0.620307
AQob,0.6136005
AJob,0.606306
ATob,0.6005015
A9ob,0.5792265
A8ob,0.5726055
A7ob,0.56471
A6ob,0.553015
A5ob,0.5539705
A4ob,0.543601
A3ob,0.532236
A2ob,0.5222355
KQob,0.590185
KJob,0.5837075
KTob,0.577019
K9ob,0.554577
K8ob,0.537973
K7ob,0.5325595
K6ob,0.523354
K5ob,0.515068
K4ob,0.504704
K3ob,0.4942755
K2ob,0.484542
QJob,0.565769
QTob,0.559283
Q9ob,0.5370975
Q8ob,0.520287
Q7ob,0.503775
Q6ob,0.498522
Q5ob,0.4903345
Q4ob,0.4790505
Q3ob,0.4680105
Q2ob,0.4575825
JTob,0.5457025
J9ob,0.5235495
J8ob,0.506732
J7ob,0.4886465
J6ob,0.472256
J5ob,0.467247
J4ob,0.45589
J3ob,0.4451205
J2ob,0.434523
T9ob,0.5130325
T8ob,0.4945975
T7ob,0.4788355
T6ob,0.4614995
T5ob,0.443476
T4ob,0.4356975
T3ob,0.4246595
T2ob,0.4138315
98ob,0.481853
97ob,0.4643625
96ob,0.446896
95ob,0.429469
94ob,0.409004
93ob,0.402545
92ob,0.390852
87ob,0.455348
86ob,0.4388835
85ob,0.42203
84ob,0.4000845
83ob,0.379248
82ob,0.3720105
76ob,0.432717
75ob,0.4147885
74ob,0.3949285
73ob,0.3735695
72ob,0.3513735
65ob,0.4123385
64ob,0.391948
63ob,0.3718115
62ob,0.3505345
54ob,0.396314
53ob,0.3764585
52ob,0.3542135
43ob,0.36353
42ob,0.3433525
32ob,0.330773
AKom,0.633301
AQom,0.6253815
AJom,0.618046
ATom,0.6123565
A9om,0.591198
A8om,0.5849665
A7om,0.575904
A6om,0.5641765
A5om,0.565596
A4om,0.55553
A3om,0.5465105
A2om,0.535424
KQom,0.601412
KJom,0.593361
KTom,0.5872925
K9om,0.567213
K8om,0.5499425
K7om,0.544675
K6om,0.5357005
K5om,0.526952
K4om,0.5156455
K3om,0.505708
K2om,0.4952245
QJom,0.5767775
QTom,0.5694235
Q9om,0.548182
Q8om,0.532022
Q7om,0.514939
Q6om,0.5105195
Q5om,0.5011175
Q4om,0.4902555
Q3om,0.479676
Q2om,0.4693275
JTom,0.55571
J9om,0.533637
J8om,0.5167565
J7om,0.4996795
J6om,0.48232
J5om,0.4778565
J4om,0.4659625
J3om,0.455453
J2om,0.4454165
T9om,0.5230825
T8om,0.5043635
T7om,0.4879305
T6om,0.471017
T5om,0.453222
T4om,0.4462295
T3om,0.4354995
T2om,0.4248235
98om,0.4910485
97om,0.4743575
96om,0.4573305
95om,0.440496
94om,0.4200575
93om,0.4118835
92om,0.402054
87om,0.4647425
86om,0.4486385
85om,0.430847
84om,0.4101845
83om,0.390203
82om,0.3821555
76om,0.441988
75om,0.424454
74om,0.404427
73om,0.3831555
72om,0.3620985
65om,0.420723
64om,0.4011925
63om,0.380537
62om,0.3592795
54om,0.4033315
53om,0.383921
52om,0.3631775
43om,0.37087
42om,0.350341
32om,0.33818
AAor,0.817187
KKor,0.7888925
QQor,0.7659345
JJor,0.743258
TTor,0.719349
99or,0.688451
88or,0.659181
77or,0.6308695
66or,0.600645
55or,0.572754
44or,0.539658
33or,0.5048705
22or,0.470667
AAob,0.8040155
KKob,0.775668
QQob,0.753401
JJob,0.7308495
TTob,0.7080875
99ob,0.6762575
88ob,0.64659
77ob,0.617313
66ob,0.5890485
55ob,0.5604745
44ob,0.527306
33ob,0.493249
22ob,0.4608495
AAom,0.810941
KKom,0.782978
QQom,0.7591445
JJom,0.7368345
TTom,0.7144265
99om,0.6822675
88om,0.653685
77om,0.6242625
66om,0.595252
55om,0.566489
44om,0.533105
33om,0.4987635
22om,0.465575
